Resource Parent,Source,Resource Parent URL,Resource,Resource Location,Address,Address Suite,City State Zip,ADA Accessible,Telephone,URL,Email,Intake Hours of Operation  ,Specific Hours  ,,Intake Procedure,Documents Required,Intake Notes,CoviD-19 Update,Description,Eligibility,Area Served,Types of Fees,Language,Insurance Type Accepted,Capacity Limitations,Wait List,Helpful Tips,Service Rules and Guidelines,Target Populations (Categories),Areas of Focus (Categories)
Jacobs and Cushman San Diego Food Bank,211 San Diego,https://my211.force.com/0014100000aV5J4AAK,Super Pantry,San Marcos Adventist Church,363 WOODLAND PKWY,,"SAN MARCOS, CA 92069",,(866) 350-3663,https://sandiegofoodbank.org/GetHelp/,,"Drive Thru Hours: 4:00 pm-6:00 pm, Tuesday; Walk-up Hours: 1:00 pm-4:00 pm, Saturday and 2:30 pm-6:30 pm, Sunday",,,Walk-in for services,,Distribution at the nearest intersection is Sycamore and S Melrose.,,"To help meet the increased demand for food during COVID-19 Pandemic, Super Pantries offer both drive-thru and walk up service, open for food distribution at minimum 3 days per week and open for food distribution at minimum 9 hours per week. This site can also provide diapers.",Not limited,San Diego County,No fees,,Not Applicable,None,None,,,COVID-19,Ongoing Emergency Food Assistance
Jacobs and Cushman San Diego Food Bank,211 San Diego,https://my211.force.com/0014100000aV5J4AAK,"Emergency Food Assistance Program (EFAP), Santee Food Bank",Carlton Hills Evangelical Lutheran Church,9715 HALBERNS BLVD,,"SANTEE, CA 92071",,(866) 350-3663,https://sandiegofoodbank.org/programs/emergency-food-assistance-program/,,"8:00 am-11:00 am, 1st and 3rd Tuesday of the Month",,Intake Procedure,Walk-in for services,No Documents Required,"First come, first served basis",,"The Emergency Food Assistance Program (EFAP) distributes USDA food each month. Eligible participants who do not exceed low income guidelines may be eligible to receive EFAP once a month. Food items vary from month to month. A typical EFAP bag will include: canned vegetables, canned soups, canned fruit juice, canned fruits, canned meats, spaghetti, rice, beans and frozen food items.","Household Size / Monthly HH Income / Annual 1 / $2,498.83 / $29,986.00 2 / $3,376.17 / $40,514.00 3 / $4,253.50 / $51,042.00 4 / $5,130.83 / $61,570.00 5 / $6,008.17 / $72,098.00 6 / $6,885.50 / $82,626.00 7 / $7,762.83 / $93,154.00 8 / $8,640.17 / $103,682.00 9 / $9,517.50 / $114,210.00 10 / $10,394.83 / $124,738.00 Each additional member add: $877.33 / $10,528",92071,No fees,,Not Applicable,Not applicable,Not applicable,At Carlton Hills Evangelical Lutheran Church facility. Distribution area in back of building.,Areas of Focus,Low Income,Ongoing Emergency Food Assistance
Jacobs and Cushman San Diego Food Bank,211 San Diego,https://my211.force.com/0014100000aV5J4AAK,North County Food Bank,North County Food Bank,1445 ENGINEER ST STE 110,Suite 110,"VISTA, CA 92081",,(858) 527-1419,https://northcountyfoodbank.org/gethelp/,,"No appointment is necessary. Drive-thru service hours are 9:00 am-5:00 pm, Monday through Friday. No walk-ups, vehicles only.",,Intake Procedure,Walk-in for services,No Documents Required,,"COVID-19 Update: The Client Choice Pantry at the North County Food Bank is currently only offering ‘drive-thru’ food distribution services for low-income families and those economically impacted by the COVID-19 crisis. In order to follow social distancing guidelines, the food distribution will be a ‘no touch’ model. Attendees will not leave their cars. Registration will occur verbally through the car window. Food will be placed directly in the vehicle by volunteers. If more than one household is arriving in a single car, please provide address verification for each households. Address verification may be drivers’ license, state-issued ID, or piece of mail with the current address on it Want to be a partner, start the partnership process, visit https://sandiegofoodbank.org/become-a-food-bank-nonprofit-partner/. Provides food and non-food items to hunger relief charities throughout San Diego County. For 501c3 nonprofit organization in need of food.",,"Must be 501(c)(3) Federal non-profit tax-exempt status or operate under a parent/umbrella organization with a 501(c)(3) in North County San Diego (the Food Bank provides exceptions for certain churches). Must provide food to the ill, needy or children under 18 years of age. Must have adequate dry, cooler, and freezer storage to insure wholesomeness of food until used or redistributed.",Vista; Oceanside; San Marcos; Encinitas; Escondido; Fallbrook; Camp Pendleton; Borrego Springs; Valley Center,Small service/handling fee charged to member nonprofit organizations,,No Insurance Required,,Not applicable,Bring reusable bags,Areas of Focus,,Food Banks/Food Distribution Warehouses
Journey Community Church,211 San Diego,https://my211.force.com/0014100000aV5JCAA0,Journey Food Bank Distributions,Journey Community Church,8363 CENTER DR,,"LA MESA, CA 91942",,(619) 464-4544,www.journeycommunitychurch.com,fcb@journeycom.org,"6:00 pm, 1st and 4th Thursday of the Month; 9:00 am, 2nd Friday of the Month; 8:30 am, 3rd Saturday of the Month",,Intake Procedure,Walk-in for services,No Documents Required,"First come, first serve basis. Open for about an hour, until food runs out.",,"COVID-19 Update: All distributions have shifted to drive through service. Please remain in the car and follow directives from the Food Bank personnel. Will provide pre-packed bags only. Remember to arrive on time, because once the line has been helped, the Food Bank will close. Food Bank provides food to individuals and families during regular distribution times. Senior Distribution takes place on the second and fourth Wednesday of the month from 10:00 am-12:00 pm. Bring ID to show proof that you are 62 or older.",Not limited,"San Diego County, La Mesa, 91942,",No fees,,Not Applicable,Until food runs out,None,"Remember to arrive on time, because once the line has been helped, the Food Bank will close.","First come, first serve.",COVID-19,Ongoing Emergency Food Assistance
Jacobs and Cushman San Diego Food Bank,211 San Diego,https://my211.force.com/0014100000aV5J4AAK,Emergency Food Assistance Program (EFAP),MAAC Project,1385 THIRD AVE,,"CHULA VISTA, CA 91911",,(866) 350-3663,https://sandiegofoodbank.org/programs/emergency-food-assistance-program/,,"9:00 am-11:00 am, Thursday before the 2nd Friday of the Month",,Intake Procedure,Walk-in for services,No Documents Required,"The Emergency Food Assistance Program (EFAP) distributes USDA food each month. Eligible participants who do not exceed low income guidelines may be eligible to receive EFAP once a month. Food items vary from month to month. A typical EFAP bag will include: canned vegetables, canned soups, canned fruit juice, canned fruits, canned meats, spaghetti, rice, beans and frozen food items.",,,"Household Size / Monthly HH Income / Annual 1 / $2,498.83 / $29,986.00 2 / $3,376.17 / $40,514.00 3 / $4,253.50 / $51,042.00 4 / $5,130.83 / $61,570.00 5 / $6,008.17 / $72,098.00 6 / $6,885.50 / $82,626.00 7 / $7,762.83 / $93,154.00 8 / $8,640.17 / $103,682.00 9 / $9,517.50 / $114,210.00 10 / $10,394.83 / $124,738.00 Each additional member add: $877.33 / $10,528",Chula Vista,No fees,,Not Applicable,Not applicable,Not applicable,By 94 Freeway Kelton exit.,Not accessible by public transit,Low Income,Ongoing Emergency Food Assistance
Jacobs and Cushman San Diego Food Bank,211 San Diego,https://my211.force.com/0014100000aV5J4AAK,Emergency Food Assistance Program (EFAP),Iglesia Cristiana Getsemani,3055 BEYER BLVD # C101,Suite C101,"SAN DIEGO, CA 92154",,(866) 350-3663,https://sandiegofoodbank.org/programs/emergency-food-assistance-program/,,"11:00 am-1:00 pm, Thursday and Friday; By appointment only Monday-Wednesday","Holiday Closures: Sept 23-26 (alternative days 9/22 at 11:00 am-1:00 pm, Nov 26 & 27 (alternative day 11/25 at 11:00 am-1:00 pm, Dec 23-24 & 30-31 (alternative days 12/23 and 12/30)",Intake Procedure,"Call for appointment, Walk-in for services",No Documents Required,"The Emergency Food Assistance Program (EFAP) distributes USDA food each month. Eligible participants who do not exceed low income guidelines may be eligible to receive EFAP once a month. Food items vary from month to month. A typical EFAP bag will include: canned vegetables, canned soups, canned fruit juice, canned fruits, canned meats, spaghetti, rice, beans and frozen food items.",,,"Household Size / Monthly HH Income / Annual 1 / $2,498.83 / $29,986.00 2 / $3,376.17 / $40,514.00 3 / $4,253.50 / $51,042.00 4 / $5,130.83 / $61,570.00 5 / $6,008.17 / $72,098.00 6 / $6,885.50 / $82,626.00 7 / $7,762.83 / $93,154.00 8 / $8,640.17 / $103,682.00 9 / $9,517.50 / $114,210.00 10 / $10,394.83 / $124,738.00 Each additional member add: $877.33 / $10,528",City of San Diego,No fees,,Not Applicable,Not applicable,Not applicable,By 94 Freeway Kelton exit.,Not accessible by public transit,Low Income,Ongoing Emergency Food Assistance
Jacobs and Cushman San Diego Food Bank,211 San Diego,https://my211.force.com/0014100000aV5J4AAK,Emergency Food Assistance Program (EFAP),California Independent Provider,4855 SEMINOLE DR,,"SAN DIEGO, CA 92115",,(866) 350-3663,https://sandiegofoodbank.org/programs/emergency-food-assistance-program/,,"10:00 am-12:00 pm, 4th Friday of the month","Holiday Closures: November 27 (alternative day: 11/20), December 25 (alternative day: 12/18)",Intake Procedure,Walk-in for services,No Documents Required,Drive thru to pick up food items,,"The Emergency Food Assistance Program (EFAP) distributes USDA food each month. Eligible participants who do not exceed low income guidelines may be eligible to receive EFAP once a month. Food items vary from month to month. A typical EFAP bag will include: canned vegetables, canned soups, canned fruit juice, canned fruits, canned meats, spaghetti, rice, beans and frozen food items.","Household Size / Monthly HH Income / Annual 1 / $2,498.83 / $29,986.00 2 / $3,376.17 / $40,514.00 3 / $4,253.50 / $51,042.00 4 / $5,130.83 / $61,570.00 5 / $6,008.17 / $72,098.00 6 / $6,885.50 / $82,626.00 7 / $7,762.83 / $93,154.00 8 / $8,640.17 / $103,682.00 9 / $9,517.50 / $114,210.00 10 / $10,394.83 / $124,738.00 Each additional member add: $877.33 / $10,528",City of San Diego,No fees,,Not Applicable,Not applicable,Not applicable,By 94 Freeway Kelton exit.,Not accessible by public transit,Low Income,Ongoing Emergency Food Assistance
Santee Food Bank,211 San Diego,https://my211.force.com/0014100000aV5ZmAAK,Santee Food Bank,,9715 HALBERNS BLVD,,"SANTEE, CA 92071",,(619) 448-2096,http://thesanteefoodbank.org/,,"9:00 am-11:00 am Wednesday, Friday, and 1st and 3rd Saturday of the month.",,Intake Procedure,Call for more information,"Driver's license, Proof of identification","Please go to the back of the building for distribution. 9:00 am-11:00 am Wednesday, Friday, and 1st and 3rd Saturday of the month.",,A food pantry that provides emergency food assistance to low and middle income families and individuals in Santee.,"Low to middle income residents of Santee. California Driver's License or California Identification Card, Military ID.",Santee,No fees,,No Insurance Required,,,(There is also another food program at Santee Food Bank location please see EFAP program),Areas of Focus,,Ongoing Emergency Food Assistance
Jacobs and Cushman San Diego Food Bank,211 San Diego,https://my211.force.com/0014100000aV5J4AAK,Emergency Food Assistance Program (EFAP),Community Food Bank of National City,2605 HIGHLAND AVE,,"NATIONAL CITY, CA 91950",,(619) 799-0497,https://sandiegofoodbank.org/programs/emergency-food-assistance-program/,,"9:00 am-11:00 am or until food is gone, 2nd Friday of the Month",,Intake Procedure,Walk-in for services,No Documents Required,"Agency issues numbers at 7:00 am, can leave the line",,"The Emergency Food Assistance Program (EFAP) distributes USDA food each month. Eligible participants who do not exceed low income guidelines may be eligible to receive EFAP once a month. Food items vary from month to month. A typical EFAP bag will include: canned vegetables, canned soups, canned fruit juice, canned fruits, canned meats, spaghetti, rice, beans and frozen food items.","Household Size / Monthly HH Income / Annual 1 / $2,498.83 / $29,986.00 2 / $3,376.17 / $40,514.00 3 / $4,253.50 / $51,042.00 4 / $5,130.83 / $61,570.00 5 / $6,008.17 / $72,098.00 6 / $6,885.50 / $82,626.00 7 / $7,762.83 / $93,154.00 8 / $8,640.17 / $103,682.00 9 / $9,517.50 / $114,210.00 10 / $10,394.83 / $124,738.00 Each additional member add: $877.33 / $10,528","91950, 91951",No fees,,Not Applicable,Not applicable,Not applicable,At Highland Avenue Baptist Church between 30th and 24th Street,Areas of Focus,Low Income,Ongoing Emergency Food Assistance
Holy Trinity Parish Food Bank,211 San Diego,https://my211.force.com/0014100000aV5IDAA0,Food Bank,Holy Trinity Parish,405 BALLARD ST,,"EL CAJON, CA 92019",,(619) 444-9425,www.holytrinityelcajon.org,holytrinityoutreach@gmail.com,10:00 am-11:00 am Monday-Friday,,Intake Procedure,Walk-in for more information,"Proof of identification, Proof of Residency, Rent Receipt","Must have current photo ID with an El Cajon address. There are exceptions for homeless. Accept a lease, utility bill, proof of residency if the photo ID is not up to date.",,Provide food for needy families that reside in El Cajon.,"Current resident of El Cajon with current photo ID or proof of residency. Permitted to obtain food once every 30 days, but only three times a year.",El Cajon,No fees.,Language other than English,"Spanish, Chaldean",None,None,Chaldean interpreter available most days. Located in the Parish Hall behind the church.,Areas of Focus,,Ongoing Emergency Food Assistance
